sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,equity_basis,equity_total,equity_total_type,equity_ratio_total,equity_parent,equity_parent_type,equity_ratio_parent,cash_and_equivalents,cash_basis,cash_bs,cash_cf,shares_outstanding,shares_as_of,shares_source,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period,bs_date
3955,株式会社イムラ,8767000000,9543000000,27781000000,18238000000,NetAssets,65.65,total,18238000000,NetAssets,65.65,16320000000.0,ShareholdersEquity,58.75,2112000000,bs,2112000000.0,1980000000,10729370.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1WA,2026-09-15,160,J-GAAP,連結,2027-01-31,2026-07-31
3191,株式会社ジョイフル本田,57948000000,41234000000,167672000000,126438000000,NetAssets,75.41,total,126438000000,NetAssets,75.41,124831000000.0,ShareholdersEquity,74.45,25193000000,bs,25193000000.0,24974000000,63784612.0,2026-09-15,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1T7,2026-09-15,120,J-GAAP,連結,2026-06-20,2026-06-20
6757,株式会社ＯＳＧコーポレーション,4188578000,4031346000,6767115000,2735769000,NetAssets,40.43,total,2735769000,NetAssets,40.43,2305482000.0,ShareholdersEquity,34.07,2342549000,bs,2342549000.0,596014000,5500000.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1RH,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
4369,株式会社　トリケミカル研究所,24444625000,10871649000,49121227000,38249578000,NetAssets,77.87,total,38249578000,NetAssets,77.87,37361880000.0,ShareholdersEquity,76.06,10078603000,bs,10078603000.0,10078603000,32498640.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z10P,2026-09-14,160,J-GAAP,連結,2026-07-31,2026-07-31
6336,株式会社石井表記,10767000000,4647000000,15861000000,11213000000,NetAssets,70.7,total,11213000000,NetAssets,70.7,9574000000.0,ShareholdersEquity,60.36,3608000000,bs,3608000000.0,1965000000,8176452.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1X7,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
4334,株式会社ユークス,2689586000,1219482000,3804111000,2584628000,NetAssets,67.94,total,2584628000,NetAssets,67.94,2463281000.0,ShareholdersEquity,64.75,1079732000,bs,1079732000.0,1079732000,11096000.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1QW,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
9517,イーレックス株式会社,63824000000,92431000000,170095000000,77663000000,EquityIFRS,45.66,total,77663000000,EquityIFRS,45.66,70388000000.0,EquityAttributableToOwnersOfParentIFRS,41.38,27569000000,cf,,27569000000,78161608.0,2026-06-25,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100YKV1,2026-06-25,120,IFRS,連結,2026-03-31,2026-03-31
9743,株式会社丹青社,42577000000,16099000000,54405000000,38305000000,NetAssets,70.41,total,38305000000,NetAssets,70.41,36209000000.0,ShareholdersEquity,66.55,13836000000,bs,13836000000.0,14332000000,48424071.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1E2,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
3399,株式会社丸千代山岡家,8991051000,7259173000,18235671000,10976498000,NetAssets,60.19,total,10976498000,NetAssets,60.19,10903097000.0,ShareholdersEquity,59.79,5443123000,bs,5443123000.0,5211804000,20112800.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z21U,2026-09-14,160,J-GAAP,個別,2027-01-31,2026-07-31
8013,株式会社ナイガイ,8344000000,5998000000,13240000000,7242000000,NetAssets,54.7,total,7242000000,NetAssets,54.7,4608000000.0,ShareholdersEquity,34.8,2882000000,bs,2882000000.0,2866000000,8217281.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1JI,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
6898,トミタ電機株式会社,2529000000,650482000,4736336000,4085853000,NetAssets,86.27,total,4085853000,NetAssets,86.27,3393387000.0,ShareholdersEquity,71.65,1148971000,bs,1148971000.0,1148971000,816979.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1RL,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
9632,スバル興業株式会社,23003859000,6556844000,44787575000,38230731000,NetAssets,85.36,total,38230731000,NetAssets,85.36,38121046000.0,ShareholdersEquity,85.12,16352604000,bs,16352604000.0,16322604000,13310000.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z20G,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
6497,株式会社ハマイ,11125088000,4351773000,21375011000,17023237000,NetAssets,79.64,total,17023237000,NetAssets,79.64,14544367000.0,ShareholdersEquity,68.04,2633716000,bs,2633716000.0,2685576000,7424140.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z21B,2026-09-14,160,J-GAAP,連結,2026-12-31,2026-06-30
5248,株式会社テクノロジーズ,14365833000,20338924000,25537208000,5198284000,NetAssets,20.36,total,5198284000,NetAssets,20.36,1511143000.0,ShareholdersEquity,5.92,1999231000,bs,1999231000.0,1900024000,16922400.0,2026-09-14,NumberOfIssuedSharesAsOfFilingDateIssuedSharesTotalNumberOfSharesEtc,S100Z1ZU,2026-09-14,160,J-GAAP,連結,2027-01-31,2026-07-31
