sec_code,filer_name,company_name,current_assets,total_liabilities,total_assets,equity_value,equity_ratio,doc_id,fiscal_period,bs_date,submit_date
9211,株式会社エフ・コード,株式会社エフ・コード,13862559000,24952589000,30091126000,8425954000,28.0,S100YX39,2026-12-31,,2026-08-14
5255,株式会社モンスターラボ,株式会社モンスターラボ,5138005000,8307237000,8913313000,660667000,7.41,S100YX3I,2026-12-31,,2026-08-14
7012,川崎重工業株式会社,川崎重工業株式会社,1372589000000,1567805000000,1950508000000,878121000000,45.02,S100Y99Z,2026-03-31,,2026-06-19
4689,ＬＩＮＥヤフー株式会社,ＬＩＮＥヤフー株式会社,592627000000,1551601000000,3782588000000,2998805000000,79.28,S100YBXD,2026-03-31,,2026-06-18
4088,エア・ウォーター株式会社,エア・ウォーター株式会社,106433000000,453511000000,614902000000,390229000000,63.46,S100YTII,2026-03-31,,2026-07-31
7095,株式会社Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,株式会社Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,8008000000,7458000000,16805000000,12614000000,75.06,S100YSEQ,2026-04-30,,2026-07-27
9268,株式会社オプティマスグループ,株式会社オプティマスグループ,30394000000,53851000000,68425000000,41984000000,61.36,S100YJVB,2026-03-31,,2026-06-24
8015,豊田通商株式会社,豊田通商株式会社,2001510000000,2040878000000,3587560000000,3157520000000,88.01,S100YD8J,2026-03-31,,2026-06-18
4568,第一三共株式会社,第一三共株式会社,1524662000000,2280704000000,3386628000000,1664179000000,49.14,S100YEY0,2026-03-31,,2026-06-19
3962,株式会社チェンジホールディングス,株式会社チェンジホールディングス,12143000000,31829000000,72352000000,46755000000,64.62,S100YJC3,2026-03-31,,2026-06-24
5471,大同特殊鋼株式会社,大同特殊鋼株式会社,291483000000,244798000000,558143000000,472565000000,84.67,S100YNEC,2026-03-31,,2026-06-30
6562,株式会社ジーニー,株式会社ジーニー,6312613000,15191407000,18393893000,9854336000,53.57,S100YNBB,2026-03-31,,2026-06-30
5482,愛知製鋼株式会社,愛知製鋼株式会社,109566000000,114479000000,266686000000,236265000000,88.59,S100YLIN,2026-03-31,,2026-06-29
9435,株式会社光通信,株式会社光通信,306713000000,1349948000000,1656061000000,1185668000000,71.6,S100YN0V,2026-03-31,,2026-06-29
4680,株式会社ラウンドワン,株式会社ラウンドワン,26482000000,51587000000,100880000000,82635000000,81.91,S100YJKU,2026-03-31,,2026-06-26
7119,株式会社ハルメクホールディングス,株式会社ハルメクホールディングス,617000000,2371000000,8826000000,8893000000,100.76,S100YF6O,2026-03-31,,2026-06-23
2432,株式会社ディー・エヌ・エー,株式会社ディー・エヌ・エー,129791000000,61474000000,232403000000,232622000000,100.09,S100YLDV,2026-03-31,,2026-06-26
6857,株式会社アドバンテスト,株式会社アドバンテスト,715582000000,414738000000,998158000000,795726000000,79.72,S100YKTA,2026-03-31,,2026-06-26
6702,富士通株式会社,富士通株式会社,1034984000000,694583000000,2173693000000,2024915000000,93.16,S100YM3K,2026-03-31,,2026-06-26
8698,マネックスグループ株式会社,マネックスグループ株式会社,21677000000,31396000000,123373000000,126397000000,102.45,S100YM8I,2026-03-31,,2026-06-26
3774,株式会社インターネットイニシアティブ,株式会社インターネットイニシアティブ,114270000000,124883000000,255051000000,158007000000,61.95,S100YHYH,2026-03-31,,2026-06-25
3447,信和株式会社,信和株式会社,7798452000,12086376000,22013381000,16910940000,76.82,S100YJZ0,2026-03-31,,2026-06-25
9158,株式会社シーユーシー,株式会社シーユーシー,32418000000,41389000000,65819000000,33400000000,50.75,S100YKO7,2026-03-31,,2026-06-25
9433,ＫＤＤＩ株式会社,ＫＤＤＩ株式会社,2813671000000,3833393000000,7543011000000,5076738000000,67.3,S100YKG2,2026-03-31,,2026-06-25
7731,株式会社ニコン,株式会社ニコン,287854000000,393584000000,652805000000,586785000000,89.89,S100YKBP,2026-03-31,,2026-06-25
5334,日本特殊陶業株式会社,日本特殊陶業株式会社,336295000000,355770000000,793195000000,767419000000,96.75,S100YJTF,2026-03-31,,2026-06-25
9517,イーレックス株式会社,イーレックス株式会社,52312000000,71651000000,125393000000,70388000000,56.13,S100YKV1,2026-03-31,,2026-06-25
8473,ＳＢＩホールディングス株式会社,ＳＢＩホールディングス株式会社,615284000000,1838805000000,2556622000000,1794942000000,70.21,S100YK3R,2026-03-31,,2026-06-25
6525,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,129727000000,112306000000,274649000000,219270000000,79.84,S100YJUA,2026-03-31,,2026-06-25
3762,テクマトリックス株式会社,テクマトリックス株式会社,81014822000,76273157000,96363057000,26327327000,27.32,S100YL8T,2026-03-31,,2026-06-25
2928,ＲＩＺＡＰグループ株式会社,ＲＩＺＡＰグループ株式会社,33571000000,39270000000,53681000000,50488000000,94.05,S100YF9Y,2026-03-31,,2026-06-25
285A,キオクシアホールディングス株式会社,キオクシアホールディングス株式会社,128727000000,748856000000,1667459000000,1398929000000,83.9,S100YJ18,2026-03-31,,2026-06-24
5713,住友金属鉱山株式会社,住友金属鉱山株式会社,1120219000000,1060923000000,2407589000000,2074835000000,86.18,S100YJ6N,2026-03-31,,2026-06-24
7011,三菱重工業株式会社,三菱重工業株式会社,3318544000000,3751218000000,5106612000000,3088566000000,60.48,S100YHZG,2026-03-31,,2026-06-24
6724,セイコーエプソン株式会社,セイコーエプソン株式会社,340483000000,357313000000,819971000000,853503000000,104.09,S100YJ6A,2026-03-31,,2026-06-24
4483,株式会社ＪＭＤＣ,株式会社ＪＭＤＣ,36340000000,41219000000,103595000000,83677000000,80.77,S100YJCA,2026-03-31,,2026-06-24
2148,アイティメディア株式会社,アイティメディア株式会社,7689774000,1346570000,9435721000,8664894000,91.83,S100YHX3,2026-03-31,,2026-06-24
7111,ＩＮＥＳＴ株式会社,ＩＮＥＳＴ株式会社,798000000,2234000000,5695000000,5103000000,89.6,S100YJEX,2026-03-31,,2026-06-24
6479,ミネベアミツミ株式会社,ミネベアミツミ株式会社,348762000000,662985000000,929708000000,898971000000,96.69,S100YISS,2026-03-31,,2026-06-24
5016,ＪＸ金属株式会社,ＪＸ金属株式会社,380470000000,414396000000,901440000000,726488000000,80.59,S100YINW,2026-03-31,,2026-06-24
429A,テクセンドフォトマスク株式会社,テクセンドフォトマスク株式会社,19749000000,58428000000,180694000000,174507000000,96.58,S100YJ5L,2026-03-31,,2026-06-24
4506,住友ファーマ株式会社,住友ファーマ株式会社,221210000000,325790000000,599614000000,292467000000,48.78,S100YH3M,2026-03-31,,2026-06-23
2282,日本ハム株式会社,日本ハム株式会社,358597000000,399239000000,611374000000,536940000000,87.83,S100YEEQ,2026-03-31,,2026-06-23
4516,日本新薬株式会社,日本新薬株式会社,174821000000,41880000000,303161000000,291551000000,96.17,S100YGRG,2026-03-31,,2026-06-23
4543,テルモ株式会社,テルモ株式会社,387907000000,597066000000,1584536000000,1584509000000,100.0,S100YGMG,2026-03-31,,2026-06-23
2588,株式会社プレミアムウォーターホールディングス,株式会社プレミアムウォーターホールディングス,33492000000,52263000000,76562000000,32061000000,41.88,S100YHDW,2026-03-31,,2026-06-23
7242,カヤバ株式会社,カヤバ株式会社,127025000000,156972000000,291190000000,249785000000,85.78,S100YHB1,2026-03-31,,2026-06-23
5020,ＥＮＥＯＳホールディングス株式会社,ＥＮＥＯＳホールディングス株式会社,174060000000,1513072000000,3556251000000,3369775000000,94.76,S100YF7I,2026-03-31,,2026-06-23
6754,アンリツ株式会社,アンリツ株式会社,53865000000,35399000000,146110000000,132717000000,90.83,S100YH5E,2026-03-31,,2026-06-23
7199,プレミアグループ株式会社,プレミアグループ株式会社,6106000000,17827000000,29540000000,25270000000,85.55,S100YHAQ,2026-03-31,,2026-06-23
6370,栗田工業株式会社,栗田工業株式会社,80214000000,143756000000,384271000000,341151000000,88.78,S100YBAT,2026-03-31,,2026-06-23
5401,日本製鉄株式会社,日本製鉄株式会社,1732269000000,6150685000000,9056495000000,5530448000000,61.07,S100YF8E,2026-03-31,,2026-06-23
7779,ＣＹＢＥＲＤＹＮＥ株式会社,ＣＹＢＥＲＤＹＮＥ株式会社,15911000000,984000000,38661000000,39622000000,102.49,S100YIAC,2026-03-31,,2026-06-23
4819,株式会社デジタルガレージ,株式会社デジタルガレージ,43872000000,71679000000,96714000000,75584000000,78.15,S100YIB5,2026-03-31,,2026-06-23
7202,いすゞ自動車株式会社,いすゞ自動車株式会社,787975000000,955643000000,1782262000000,1479509000000,83.01,S100YFBQ,2026-03-31,,2026-06-23
6523,ＰＨＣホールディングス株式会社,ＰＨＣホールディングス株式会社,55372000000,324178000000,420875000000,161668000000,38.41,S100YHPK,2026-03-31,,2026-06-23
3291,飯田グループホールディングス株式会社,飯田グループホールディングス株式会社,292866000000,396239000000,1057416000000,1020964000000,96.55,S100YID4,2026-03-31,,2026-06-23
6305,日立建機株式会社,日立建機株式会社,484739000000,423448000000,896080000000,900166000000,100.46,S100YIBR,2026-03-31,,2026-06-23
7270,株式会社ＳＵＢＡＲＵ,株式会社ＳＵＢＡＲＵ,2204709000000,2012297000000,3390915000000,2780407000000,82.0,S100YFKZ,2026-03-31,,2026-06-22
