コード,銘柄名,指定年月日,区分
1382,（株）ホーブ,2026/07/23,整理
1726,（株）ビーアールホールディングス,2026/05/15,整理
1776,三井住建道路（株）,2026/05/08,整理
1841,サンユー建設（株）,2026/03/06,整理
1909,日本ドライケミカル（株）,2026/08/24,整理
1948,（株）弘電社,2026/08/25,整理
1949,住友電設（株）,2026/02/09,整理
202A,（株）豆蔵,2026/03/26,整理
2162,ｎｍｓ　ホールディングス（株）,2026/07/30,整理
2180,（株）サニーサイドアップグループ,2026/08/28,整理
2344,平安レイサービス（株）,2026/04/15,整理
2371,（株）カカクコム,2026/05/12,監理
2374,セントケア・ホールディング（株）,2026/02/18,整理
2389,（株）デジタルホールディングス,2026/02/25,整理
2404,（株）鉄人化ホールディングス,2026/09/01,監理
2540,養命酒製造（株）,2026/06/01,整理
2673,夢みつけ隊（株）,2026/04/01,監理
2686,（株）ジーフット,2026/05/22,整理
2692,伊藤忠食品（株）,2026/04/28,整理
2763,（株）エフティグループ,2026/06/03,整理
2997,（株）ストレージ王,2026/07/08,監理
3271,（株）ＴＨＥグローバル社,2026/07/09,整理
3276,（株）ＪＰＭＣ,2026/08/03,監理
3294,（株）イーグランド,2026/05/27,整理
3480,（株）ジェイ・エス・ビー,2026/08/10,整理
3526,芦森工業（株）,2026/01/27,整理
3541,（株）農業総合研究所,2026/04/10,整理
3544,サツドラホールディングス（株）,2026/06/19,監理
3546,アレンザホールディングス（株）,2026/05/27,整理
3593,（株）ホギメディカル,2026/04/24,整理
3655,（株）ブレインパッド,2026/02/26,整理
3670,協立情報通信（株）,2026/04/30,整理
3676,（株）デジタルハーツホールディングス,2026/08/06,監理
3681,（株）ブイキューブ,2026/04/30,整理
3787,（株）テクノマセマティカル,2026/06/03,整理
3803,イメージ情報開発（株）,2026/04/01,監理
3856,Ａｂａｌａｎｃｅ（株）,2026/08/25,整理
3902,メディカル・データ・ビジョン（株）,2026/03/24,整理
3961,シルバーエッグ・テクノロジー（株）,2026/02/20,整理
4171,（株）グローバルインフォメーション,2026/07/13,整理
4316,（株）ビーマップ,2026/03/31,整理
4320,（株）ＣＥホールディングス,2026/08/05,監理
4384,ラクスル（株）,2026/05/12,整理
4413,（株）ボードルア,2026/08/19,監理
4420,イーソル（株）,2026/09/01,監理
4464,（株）ソフト９９コーポレーション,2026/02/17,監理
4530,久光製薬（株）,2026/04/17,整理
4556,（株）カイノス,2026/05/25,整理
4626,太陽ホールディングス（株）,2026/04/01,監理
4659,（株）エイジス,2026/06/02,整理
4690,日本パレットプール（株）,2026/03/26,整理
4722,フューチャー（株）,2026/07/29,監理
4760,（株）アルファ,2026/09/01,監理
4800,オリコン（株）,2026/05/28,監理
4812,（株）電通総研,2026/08/28,監理
4917,（株）マンダム,2026/04/24,整理
4957,ヤスハラケミカル（株）,2026/02/10,整理
4974,タカラバイオ（株）,2026/05/20,整理
5103,昭和ホールディングス（株）,2026/07/24,整理
5202,日本板硝子（株）,2026/08/31,整理
5352,黒崎播磨（株）,2026/03/11,整理
5380,新東（株）,2026/07/01,監理
5386,（株）鶴弥,2026/02/16,整理
5484,東北特殊鋼（株）,2026/05/15,監理
5596,アウトルックコンサルティング（株）,2026/01/28,整理
5856,（株）エルアイイーエイチ,2026/05/25,整理
5903,シンポ（株）,2026/07/01,整理
6147,（株）ヤマザキ,2026/05/27,整理
6173,（株）アクアライン,2026/04/30,整理
6197,（株）ソラスト,2026/07/06,整理
6201,（株）豊田自動織機,2026/05/12,整理
6403,水道機工（株）,2026/06/01,整理
6406,フジテック（株）,2026/02/20,整理
6565,ＡＢホテル（株）,2026/03/30,整理
6670,（株）ＭＣＪ,2026/05/27,整理
6734,（株）ニューテック,2026/02/19,整理
6901,澤藤電機（株）,2026/04/14,整理
7082,（株）ジモティー,2026/08/28,整理
7088,（株）フォーラムエンジニアリング,2026/04/01,整理
7092,（株）Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,2026/03/19,整理
7105,三菱ロジスネクスト（株）,2026/04/09,整理
7116,ダイワ通信（株）,2026/02/25,整理
7183,あんしん保証（株）,2026/05/12,監理
7229,（株）ユタカ技研,2026/05/15,整理
7250,太平洋工業（株）,2026/03/24,整理
7255,（株）桜井製作所,2026/04/15,整理
7317,（株）松屋アールアンドディ,2026/06/25,整理
7426,（株）山大,2026/04/22,整理
7450,（株）サンデー,2026/03/12,整理
7455,（株）パリミキホールディングス,2026/03/06,整理
7490,日新商事（株）,2026/05/11,監理
7523,アールビバン（株）,2026/07/10,監理
7635,杉田エース（株）,2026/03/03,整理
7709,クボテック（株）,2026/04/22,整理
7718,スター精密（株）,2026/02/26,整理
7739,キヤノン電子（株）,2026/03/19,整理
7743,（株）シード,2026/08/26,監理
7817,パラマウントベッドホールディングス（株）,2026/01/19,整理
7851,カワセコンピュータサプライ（株）,2026/05/13,整理
7886,ヤマト　モビリティ　＆　Ｍｆｇ．（株）,2026/04/01,監理
7922,三光産業（株）,2026/06/05,整理
7923,トーイン（株）,2026/02/27,整理
7940,ウェーブロックホールディングス（株）,2026/06/18,整理
7946,（株）光陽社,2026/04/15,整理
7985,ネポン（株）,2026/04/15,整理
7999,ＭＵＴＯＨホールディングス（株）,2026/05/21,整理
8141,新光商事（株）,2026/05/15,監理
8209,（株）フレンドリー,2026/03/27,整理
8254,（株）さいか屋,2026/09/01,監理
8283,（株）ＰＡＬＴＡＣ,2026/07/15,整理
9067,（株）丸運,2026/05/08,整理
9110,ＮＳユナイテッド海運（株）,2026/07/31,監理
9229,（株）サンウェルズ,2026/04/01,監理
9338,（株）ＩＮＦＯＲＩＣＨ,2026/05/26,整理
9600,（株）アイネット,2026/01/30,整理
9691,（株）両毛システムズ,2026/05/14,監理
9719,ＳＣＳＫ（株）,2026/02/09,整理
9776,札幌臨床検査センター（株）,2026/01/13,整理
9914,（株）植松商会,2026/05/13,整理
9927,（株）ワットマン,2026/05/29,整理
