コード,銘柄名,市場区分,区分,該当事由,取得日
4088,エア・ウォーター（株）,プライム,特別注意,2026/05/01,2026-09-18
4813,（株）ＡＣＣＥＳＳ,プライム,特別注意,2025/08/27,2026-09-18
6548,（株）旅工房,グロース,特別注意,2025/11/22,2026-09-18
6594,ニデック（株）,プライム,特別注意,2025/10/28,2026-09-18
7831,（株）ウイルコホールディングス,スタンダード,特別注意,2024/10/26,2026-09-18
8746,ｕｎｂａｎｋｅｄ（株）,スタンダード,特別注意,2026/05/26,2026-09-18
8894,（株）ＲＥＶＯＬＵＴＩＯＮ,スタンダード,特別注意,2026/07/25,2026-09-18
9444,（株）トーシンホールディングス,スタンダード,特別注意,2025/11/22,2026-09-18
4933,（株）Ｉ－ｎｅ,プライム,猶予期間,2026/6/18～2027/6/18,2026-09-18
6228,（株）ジェイ・イー・ティ,スタンダード,猶予期間,2026/6/18～2027/6/18,2026-09-18
8887,（株）シーラホールディングス （旧商号：（株）クミカ）,スタンダード,猶予期間,2025/6/1～2029/5/31,2026-09-18
2388,（株）ウェッジホールディングス,,監査意見,限定付結論,2026-09-18
2901,（株）ウェルディッシュ,,監査意見,結論不表明,2026-09-18
3133,（株）海帆,,監査意見,結論不表明,2026-09-18
3681,（株）ブイキューブ,,監査意見,意見不表明,2026-09-18
3856,Ａｂａｌａｎｃｅ（株）,,監査意見,結論不表明,2026-09-18
4088,エア・ウォーター（株）,,監査意見,限定付結論,2026-09-18
5103,昭和ホールディングス（株）,,監査意見,限定付適正意見,2026-09-18
6497,（株）ハマイ,,監査意見,意見不表明,2026-09-18
7709,クボテック（株）,,監査意見,結論不表明,2026-09-18
8894,（株）ＲＥＶＯＬＵＴＩＯＮ,,監査意見,結論不表明,2026-09-18
9444,（株）トーシンホールディングス,,監査意見,結論不表明,2026-09-18
