sec_code,name,market,sector,alert_section,is_supervised,price,price_date,last_quote,traded_days_20,avg_turnover_20,avg_turnover_20_m,days_since_trade,window_days,as_of
7485,岡谷鋼機,プレミア市場,卸売業,,False,5130.0,2026-09-04,,12,50923083,50.9,0.0,12,2026-09-04
6623,愛知電,プレミア市場,電気機器,,False,8880.0,2026-09-04,,12,43322000,43.3,0.0,12,2026-09-04
7076,名南Ｍ＆Ａ,メイン市場,サービス業,,False,1090.0,2026-09-04,,12,13534475,13.5,0.0,12,2026-09-04
9357,名港海,メイン市場,倉庫・運輸関連業,,False,2488.0,2026-09-04,,12,12863883,12.9,0.0,12,2026-09-04
9402,中日放送,プレミア市場,情報・通信業,,False,1275.0,2026-09-04,,12,11403492,11.4,0.0,12,2026-09-04
2902,太陽化,メイン市場,食料品,,False,2724.0,2026-09-04,,12,9712592,9.7,0.0,12,2026-09-04
7488,ヤガミ,メイン市場,卸売業,,False,5050.0,2026-09-04,,12,8731750,8.7,0.0,12,2026-09-04
9170,成友興業,メイン市場,サービス業,,False,1470.0,2026-09-04,1900.0,10,8640533,8.6,0.0,12,2026-09-04
1777,川崎設備,メイン市場,建設業,,False,2339.0,2026-09-04,,12,8339417,8.3,0.0,12,2026-09-04
5607,中央可鍛,メイン市場,鉄 鋼,,False,620.0,2026-09-04,,12,8307808,8.3,0.0,12,2026-09-04
1869,名工建,メイン市場,建設業,,False,1906.0,2026-09-04,,12,8099517,8.1,0.0,12,2026-09-04
8228,マルイチ産商,メイン市場,卸売業,,False,1085.0,2026-09-04,,12,7996433,8.0,0.0,12,2026-09-04
3260,エスポア,監理銘柄,サービス業,監理,True,450.0,2026-09-04,,12,7739950,7.7,0.0,12,2026-09-04
3504,丸八ホールディングス,メイン市場,繊維製品,,False,1370.0,2026-09-04,,12,6808058,6.8,0.0,12,2026-09-04
9359,伊勢湾海,メイン市場,倉庫・運輸関連業,,False,953.0,2026-09-04,,12,6459000,6.5,0.0,12,2026-09-04
418A,ウリドキ,ネクスト市場,情報・通信業,,False,1299.0,2026-09-04,,12,4932700,4.9,0.0,12,2026-09-04
6565,ＡＢホテル,メイン市場,サービス業,,False,1300.0,2026-09-04,,12,4308808,4.3,0.0,12,2026-09-04
6111,旭精機,メイン市場,機 械,,False,1995.0,2026-09-04,,12,3654583,3.7,0.0,12,2026-09-04
6142,富士精工,メイン市場,機 械,,False,1769.0,2026-09-04,,12,3501258,3.5,0.0,12,2026-09-04
3066,ＪＢイレブン,メイン市場,小売業,,False,653.0,2026-09-04,,12,3433025,3.4,0.0,12,2026-09-04
9664,御園座,メイン市場,サービス業,,False,1499.0,2026-09-04,,12,3101042,3.1,0.0,12,2026-09-04
8190,ヤマナカ,メイン市場,小売業,,False,520.0,2026-09-04,,12,2928033,2.9,0.0,12,2026-09-04
2551,マルサンアイ,メイン市場,食料品,,False,3615.0,2026-09-04,,12,2875292,2.9,0.0,12,2026-09-04
6025,日本ＰＣサービス,ネクスト市場,サービス業,,False,690.0,2026-09-04,743.0,10,2841692,2.8,0.0,12,2026-09-04
7870,福島印,メイン市場,その他製品,,False,369.0,2026-09-04,,12,2644808,2.6,0.0,12,2026-09-04
5343,ニッコー,メイン市場,ガラス・土石製品,,False,182.0,2026-09-04,,12,2492933,2.5,0.0,12,2026-09-04
2467,ＶＬＣセキュリティ,ネクスト市場,サービス業,,False,175.0,2026-09-04,,12,2402408,2.4,0.0,12,2026-09-04
3775,ガイアックス,ネクスト市場,情報・通信業,,False,446.0,2026-09-04,,12,2063767,2.1,0.0,12,2026-09-04
3032,ゴルフ・ドゥ,ネクスト市場,小売業,,False,244.0,2026-09-04,,12,2018733,2.0,0.0,12,2026-09-04
7227,アスカ,メイン市場,輸送用機器,,False,1824.0,2026-09-04,,12,1938550,1.9,0.0,12,2026-09-04
5979,カネソウ,メイン市場,金属製品,,False,5420.0,2026-09-02,5420.0,8,1725583,1.7,2.0,12,2026-09-04
5075,アップコン,ネクスト市場,建設業,,False,1025.0,2026-09-04,,12,1544758,1.5,0.0,12,2026-09-04
377A,エージェントＩＧＨＤ,メイン市場,保険業,,False,1015.0,2026-09-04,,12,1513842,1.5,0.0,12,2026-09-04
4062,イビデン,プレミア市場,電気機器,,False,20360.0,2026-09-04,20475.0,4,1513208,1.5,0.0,12,2026-09-04
259A,ケイ・ウノ,ネクスト市場,小売業,,False,1870.0,2026-09-04,,12,1451608,1.5,0.0,12,2026-09-04
9040,大宝運,メイン市場,陸運業,,False,4245.0,2026-09-04,4260.0,10,1377208,1.4,0.0,12,2026-09-04
7946,光陽社,メイン市場,その他製品,,False,354.0,2026-09-04,356.0,11,1345108,1.3,0.0,12,2026-09-04
5386,鶴弥,メイン市場,ガラス・土石製品,,False,392.0,2026-09-04,,12,1154475,1.2,0.0,12,2026-09-04
9643,中日興,メイン市場,サービス業,,False,11080.0,2026-09-03,11080.0,7,1106583,1.1,1.0,12,2026-09-04
5530,日本システムバンク,メイン市場,不動産業,,False,1095.0,2026-09-04,,12,1047675,1.0,0.0,12,2026-09-04
3739,コムシード,ネクスト市場,情報・通信業,,False,120.0,2026-09-04,,12,1024792,1.0,0.0,12,2026-09-04
7118,伸和ホールディングス,ネクスト市場,小売業,,False,4350.0,2026-09-04,4100.0,11,992375,1.0,0.0,12,2026-09-04
8071,東海エレ,メイン市場,卸売業,,False,3025.0,2026-09-02,3025.0,8,874658,0.9,2.0,12,2026-09-04
9471,文渓堂,メイン市場,情報・通信業,,False,1134.0,2026-09-04,1138.0,11,873700,0.9,0.0,12,2026-09-04
8145,中部水,メイン市場,卸売業,,False,3270.0,2026-09-04,3240.0,10,860625,0.9,0.0,12,2026-09-04
3442,ＭＩＥコーポ,メイン市場,金属製品,,False,1810.0,2026-09-04,1611.0,10,850900,0.9,0.0,12,2026-09-04
6439,中日鋳工,メイン市場,機 械,,False,409.0,2026-09-04,383.0,11,780975,0.8,0.0,12,2026-09-04
3346,ヒロタグループＨＤ,ネクスト市場,小売業,,False,81.0,2026-09-04,,12,730983,0.7,0.0,12,2026-09-04
3808,オーケーウェブ,ネクスト市場,情報・通信業,,False,27.0,2026-09-04,,12,717150,0.7,0.0,12,2026-09-04
7950,デコラックス,メイン市場,化 学,,False,9300.0,2026-09-02,9300.0,4,628667,0.6,2.0,12,2026-09-04
1738,ＮＩＴＴＯＨ,メイン市場,建設業,,False,565.0,2026-09-04,,12,615050,0.6,0.0,12,2026-09-04
1892,徳倉建,メイン市場,建設業,,False,7810.0,2026-08-31,7810.0,5,595417,0.6,4.0,12,2026-09-04
3419,アートグリーン,ネクスト市場,卸売業,,False,1988.0,2026-09-04,,12,578858,0.6,0.0,12,2026-09-04
7675,セントラルフォレスト,メイン市場,卸売業,,False,2723.0,2026-09-04,2760.0,8,548800,0.5,0.0,12,2026-09-04
391A,山忠,メイン市場,不動産業,,False,2480.0,2026-09-04,2463.0,8,512083,0.5,0.0,12,2026-09-04
3384,アークコア,ネクスト市場,卸売業,,False,774.0,2026-09-04,,12,504817,0.5,0.0,12,2026-09-04
6655,洋電機,メイン市場,電気機器,,False,782.0,2026-09-04,777.0,11,417158,0.4,0.0,12,2026-09-04
5241,日本オーエー研究所,メイン市場,情報・通信業,,False,766.0,2026-09-03,766.0,9,309342,0.3,1.0,12,2026-09-04
7012,川崎重,プレミア市場,輸送用機器,,False,2500.5,2026-09-01,2433.5,4,259308,0.3,3.0,12,2026-09-04
7790,バルコス,ネクスト市場,その他製品,,False,1076.0,2026-09-03,1076.0,10,256533,0.3,1.0,12,2026-09-04
7630,壱番屋,プレミア市場,小売業,,False,1087.0,2026-09-02,1092.0,3,251067,0.3,2.0,12,2026-09-04
8306,三菱ＵＦＪ,プレミア市場,銀行業,,False,3677.0,2026-08-31,3785.0,3,212258,0.2,4.0,12,2026-09-04
6225,エコム,メイン市場,機 械,,False,2100.0,2026-08-31,2100.0,6,189567,0.2,4.0,12,2026-09-04
3670,協立情報通信,メイン市場,情報・通信業,,False,1732.0,2026-09-03,1735.0,5,160350,0.2,1.0,12,2026-09-04
275A,ハンワホームズ,ネクスト市場,建設業,,False,390.0,2026-09-03,390.0,10,146467,0.1,1.0,12,2026-09-04
7203,トヨタ自,プレミア市場,輸送用機器,,False,3251.0,2026-09-01,3081.0,2,134100,0.1,3.0,12,2026-09-04
9022,ＪＲ東海,プレミア市場,陸運業,,False,3943.0,2026-09-02,3857.0,1,131433,0.1,2.0,12,2026-09-04
9914,植松商会,メイン市場,卸売業,,False,750.0,2026-09-04,761.0,7,125125,0.1,0.0,12,2026-09-04
