sec_code,company_name,ticker,price,market_cap,ncav,nc_ratio,equity_ratio,cash_and_equivalents,net_cash,net_cash_ratio,current_assets,total_liabilities,total_assets,accounting_standard,consolidated,fiscal_period,bs_date,submit_date,調整後終値,前日比%,5日騰落%,20日騰落%,60日安値乖離%,120日安値乖離%,52週安値乖離%,52週高値乖離%,停滞日数,20日平均売買代金(百万円)
7034,株式会社プロレド・パートナーズ,7034.T,312.0,3410657328.0,10348348000,3.0341212865463216,85.15,5667289000.0,3609190000.0,1.058209504182708,12406447000,2058099000,13861295000,J-GAAP,個別,2026-10-31,2026-04-30,2026-06-15,312.0,-6.3,-8.5,-16.8,0.0,0.0,0.0,-59.9,1,11.1
8165,株式会社千趣会,8165.T,100.0,4677577000.0,10282000000,2.1981466045347835,71.03,6478000000.0,-531000000.0,-0.11352031190507393,17291000000,7009000000,24190000000,J-GAAP,個別,2026-12-31,2026-06-30,2026-08-18,100.0,-1.0,-4.8,-8.3,0.0,0.0,0.0,-59.3,2,13.6
8783,ａｂｃ株式会社,8783.T,51.0,2330915118.0,5079114000,2.1790214327315542,66.42,767437000.0,-4121891000.0,-1.7683574009922398,9968442000,4889328000,14561749000,J-GAAP,個別,2026-08-31,2026-02-28,2026-04-14,51.0,0.0,-3.8,-23.9,2.0,2.0,2.0,-86.9,3,49.3
3600,株式会社フジックス,3600.T,1720.0,2367549040.0,4755589000,2.0086549083688676,84.3,2482013000.0,519702000.0,0.21951055341181022,6717900000,1962311000,12501084000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-24,1720.0,0.0,0.0,-1.7,2.4,7.3,12.3,-4.1,11,0.3
7297,株式会社カーメイト,7297.T,853.0,6017060294.0,11996946000,1.9938218023114926,75.23,11139514000.0,6132526000.0,1.0191897206207388,17003934000,5006988000,20210160000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-25,853.0,-0.5,-1.3,-1.3,1.3,1.5,5.9,-10.6,6,1.7
7427,エコートレーディング株式会社,7427.T,821.0,4985950241.0,9880142000,1.9815965909074944,31.31,6230654000.0,-20489977000.0,-4.1095430178000445,36600773000,26720631000,38899047000,J-GAAP,連結,2026-02-28,2026-02-28,2026-05-26,821.0,-0.4,-0.8,0.4,2.3,2.5,2.5,-10.9,12,7.4
2055,日和産業株式会社,2055.T,344.0,6230456792.0,12273000000,1.9698395173462588,61.78,9390000000.0,-2387000000.0,-0.3831179766891159,24050000000,11777000000,30816000000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-25,344.0,0.3,-1.7,-2.3,8.5,10.6,10.6,-15.8,6,7.0
7399,株式会社ナンシン,7399.T,613.0,3922268240.0,7660598000,1.9531040538930606,83.03,4139149000.0,1659172000.0,0.42301339390291165,10140575000,2479977000,14613023000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-29,613.0,0.0,-0.8,3.0,6.4,11.1,11.1,-2.5,6,1.7
5956,トーソー株式会社,5956.T,581.0,5134428306.0,9638714000,1.877271124564418,68.71,4422486000.0,-2797137000.0,-0.5447806130102774,16858337000,7219623000,23070259000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-24,581.0,0.5,1.6,1.4,4.5,6.0,10.2,-22.5,13,2.6
6771,池上通信機株式会社,6771.T,661.0,4430215673.0,7962000000,1.7972037001549384,47.81,4669000000.0,-10946000000.0,-2.470760073084144,23577000000,15615000000,29917000000,J-GAAP,連結,2026-03-31,2026-03-31,2026-06-25,661.0,-0.6,-0.3,-2.5,5.1,8.2,15.5,-22.6,6,5.5
