sec_code,company_name,market,as_of
1301,極洋,プライム（内国株式）,20260911
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,20260911
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,20260911
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,20260911
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,20260911
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,20260911
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,20260911
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,20260911
131A,ＣＣＮグループ,PRO Market,20260911
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,20260911
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,20260911
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,20260911
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,20260911
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,20260911
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,20260911
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,20260911
132A,アイエヌホールディングス,PRO Market,20260911
1330,上場インデックスファンド２２５,ETF・ETN,20260911
1332,ニッスイ,プライム（内国株式）,20260911
1333,Ｕｍｉｏｓ,プライム（内国株式）,20260911
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,20260911
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,20260911
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,20260911
1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,20260911
1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,20260911
1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,20260911
134A,アプライズ,PRO Market,20260911
1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,20260911
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,20260911
1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,20260911
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,20260911
1360,日経平均ベア２倍上場投信,ETF・ETN,20260911
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,20260911
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,20260911
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,20260911
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,20260911
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,20260911
1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,20260911
1375,ユキグニファクトリー,プライム（内国株式）,20260911
1376,カネコ種苗,スタンダード（内国株式）,20260911
1377,サカタのタネ,プライム（内国株式）,20260911
1379,ホクト,プライム（内国株式）,20260911
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,20260911
1380,秋川牧園,スタンダード（内国株式）,20260911
1381,アクシーズ,スタンダード（内国株式）,20260911
1382,ホーブ,スタンダード（内国株式）,20260911
1383,ベルグアース,スタンダード（内国株式）,20260911
1384,ホクリヨウ,スタンダード（内国株式）,20260911
138A,光フードサービス,グロース（内国株式）,20260911
1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,20260911
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,20260911
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,20260911
139A,東日本地所,PRO Market,20260911
1401,エムビーエス,グロース（内国株式）,20260911
1407,ウエストホールディングス,スタンダード（内国株式）,20260911
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN,20260911
1414,ショーボンドホールディングス,プライム（内国株式）,20260911
1417,ミライト・ワン,プライム（内国株式）,20260911
1418,インターライフホールディングス,スタンダード（内国株式）,20260911
1419,タマホーム,プライム（内国株式）,20260911
141A,トライアルホールディングス,グロース（内国株式）,20260911
1420,サンヨーホームズ,スタンダード（内国株式）,20260911
1429,日本アクア,プライム（内国株式）,20260911
142A,ジンジブ,グロース（内国株式）,20260911
1430,ファーストコーポレーション,スタンダード（内国株式）,20260911
1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,20260911
1432,動力,PRO Market,20260911
1433,ベステラ,プライム（内国株式）,20260911
1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,20260911
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,20260911
1436,グリーンエナジー＆カンパニー,グロース（内国株式）,20260911
1438,岐阜造園,スタンダード（内国株式）,20260911
143A,イシン,グロース（内国株式）,20260911
1443,技研ホールディングス,スタンダード（内国株式）,20260911
1444,ニッソウ,グロース（内国株式）,20260911
1445,ひかりホールディングス,PRO Market,20260911
1446,キャンディル,スタンダード（内国株式）,20260911
1447,ＳＡＡＦホールディングス,グロース（内国株式）,20260911
144A,エネルギーパワー,PRO Market,20260911
1450,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,20260911
1452,横浜ライト工業,PRO Market,20260911
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF・ETN,20260911
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,20260911
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,20260911
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,20260911
145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,20260911
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,20260911
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,20260911
146A,コロンビア・ワークス,スタンダード（内国株式）,20260911
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,20260911
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,20260911
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,20260911
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,20260911
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,20260911
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,20260911
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,20260911
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,20260911
147A,ソラコム,グロース（内国株式）,20260911
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,20260911
1481,上場インデックスファンド日本経済貢献株,ETF・ETN,20260911
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260911
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,20260911
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,20260911
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,20260911
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,20260911
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,20260911
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN,20260911
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,20260911
148A,ハッチ・ワーク,グロース（内国株式）,20260911
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,20260911
1491,中外鉱業,スタンダード（内国株式）,20260911
