sec_code,ticker,year,high,low,days,updated_at
1420,1420.T,2016,509.4,350.22,87,2026-08-24
1420,1420.T,2017,783.41,456.42,253,2026-08-24
1420,1420.T,2018,1139.5,538.22,261,2026-08-24
1420,1420.T,2019,690.46,485.7,241,2026-08-24
1420,1420.T,2020,643.63,418.97,242,2026-08-24
1420,1420.T,2021,730.54,595.34,245,2026-08-24
1420,1420.T,2022,710.35,595.11,244,2026-08-24
1420,1420.T,2023,689.35,613.43,246,2026-08-24
1420,1420.T,2024,737.63,612.83,245,2026-08-24
1420,1420.T,2025,712.64,578.6,243,2026-08-24
1420,1420.T,2026,714.57,602.0,156,2026-08-24
1758,1758.T,2016,990.97,850.78,87,2026-08-24
1758,1758.T,2017,2030.97,986.85,253,2026-08-24
1758,1758.T,2018,2059.55,1565.65,261,2026-08-24
1758,1758.T,2019,2681.61,1405.89,241,2026-08-24
1758,1758.T,2020,2889.89,1204.18,242,2026-08-24
1758,1758.T,2021,1605.88,1392.06,245,2026-08-24
1758,1758.T,2022,2167.28,1367.52,244,2026-08-24
1758,1758.T,2023,2901.93,1604.93,246,2026-08-24
1758,1758.T,2024,2183.64,1424.11,245,2026-08-24
1758,1758.T,2025,2570.39,1468.93,243,2026-08-24
1758,1758.T,2026,2762.0,2330.0,156,2026-08-24
1850,1850.T,2016,580.84,477.78,87,2026-08-24
1850,1850.T,2017,721.36,524.63,253,2026-08-24
1850,1850.T,2018,908.73,347.57,261,2026-08-24
1850,1850.T,2019,440.31,312.9,241,2026-08-24
1850,1850.T,2020,334.45,201.42,242,2026-08-24
1850,1850.T,2021,333.51,254.82,245,2026-08-24
1850,1850.T,2022,357.44,274.49,244,2026-08-24
1850,1850.T,2023,353.17,286.52,246,2026-08-24
1850,1850.T,2024,362.35,258.96,245,2026-08-24
1850,1850.T,2025,639.66,236.18,243,2026-08-24
1850,1850.T,2026,641.63,374.0,156,2026-08-24
1853,1853.T,2016,124.9,96.23,87,2026-08-24
1853,1853.T,2017,372.9,108.33,253,2026-08-24
1853,1853.T,2018,592.33,218.08,261,2026-08-24
1853,1853.T,2019,332.74,199.87,241,2026-08-24
1853,1853.T,2020,262.1,142.03,242,2026-08-24
1853,1853.T,2021,281.78,215.39,245,2026-08-24
1853,1853.T,2022,264.82,239.53,244,2026-08-24
1853,1853.T,2023,308.59,234.55,246,2026-08-24
1853,1853.T,2024,323.58,262.34,245,2026-08-24
1853,1853.T,2025,335.59,268.47,243,2026-08-24
1853,1853.T,2026,338.0,307.0,156,2026-08-24
1897,1897.T,2016,2387.8,1786.42,87,2026-08-24
1897,1897.T,2017,3269.58,2287.4,253,2026-08-24
1897,1897.T,2018,4110.61,2956.38,261,2026-08-24
1897,1897.T,2019,4523.53,3425.51,241,2026-08-24
1897,1897.T,2020,4677.33,3030.76,242,2026-08-24
1897,1897.T,2021,3599.61,2980.57,245,2026-08-24
1897,1897.T,2022,3396.0,2537.23,244,2026-08-24
1897,1897.T,2023,2818.66,2562.85,246,2026-08-24
1897,1897.T,2024,3154.29,2558.16,245,2026-08-24
1897,1897.T,2025,2980.0,2518.58,243,2026-08-24
1897,1897.T,2026,3575.0,2904.0,156,2026-08-24
1994,1994.T,2016,593.71,413.8,87,2026-08-24
1994,1994.T,2017,512.53,407.43,253,2026-08-24
1994,1994.T,2018,778.02,391.95,261,2026-08-24
1994,1994.T,2019,652.81,415.7,241,2026-08-24
1994,1994.T,2020,614.44,297.11,242,2026-08-24
1994,1994.T,2021,589.86,426.64,245,2026-08-24
1994,1994.T,2022,552.21,397.04,244,2026-08-24
1994,1994.T,2023,477.08,402.81,246,2026-08-24
1994,1994.T,2024,577.89,439.56,245,2026-08-24
1994,1994.T,2025,544.32,430.37,243,2026-08-24
1994,1994.T,2026,651.89,507.79,156,2026-08-24
2055,2055.T,2016,179.12,155.51,87,2026-08-24
2055,2055.T,2017,323.54,174.23,253,2026-08-24
2055,2055.T,2018,316.06,173.43,261,2026-08-24
2055,2055.T,2019,251.53,182.74,241,2026-08-24
2055,2055.T,2020,298.07,178.66,242,2026-08-24
2055,2055.T,2021,361.47,251.77,245,2026-08-24
2055,2055.T,2022,319.21,211.07,244,2026-08-24
2055,2055.T,2023,274.73,216.58,246,2026-08-24
2055,2055.T,2024,335.81,259.67,245,2026-08-24
2055,2055.T,2025,351.27,253.86,243,2026-08-24
2055,2055.T,2026,408.34,310.0,156,2026-08-24
2193,2193.T,2016,1170.2,920.91,87,2026-08-24
2193,2193.T,2017,1139.85,599.04,253,2026-08-24
2193,2193.T,2018,681.0,287.0,261,2026-08-24
2193,2193.T,2019,407.0,258.0,241,2026-08-24
2193,2193.T,2020,412.0,218.0,242,2026-08-24
2193,2193.T,2021,337.0,215.0,245,2026-08-24
2193,2193.T,2022,309.0,175.0,244,2026-08-24
2193,2193.T,2023,232.0,105.0,246,2026-08-24
2193,2193.T,2024,224.0,111.0,245,2026-08-24
2193,2193.T,2025,233.0,129.0,243,2026-08-24
2193,2193.T,2026,165.0,111.0,156,2026-08-24
2388,2388.T,2016,1240.0,353.0,87,2026-08-24
2388,2388.T,2017,1597.0,302.0,253,2026-08-24
2388,2388.T,2018,368.0,93.0,261,2026-08-24
2388,2388.T,2019,156.0,91.0,241,2026-08-24
2388,2388.T,2020,275.0,64.0,242,2026-08-24
2388,2388.T,2021,161.0,73.0,245,2026-08-24
2388,2388.T,2022,225.0,69.0,244,2026-08-24
2388,2388.T,2023,196.0,93.0,246,2026-08-24
